22,1,M,67.0,Others,91.0,Others,Commerce,58.0,SciTech,No,55.0,MktHR,58.8,Placed,270000.0
23,2,M,79.33,Central,78.33,Others,Science,77.48,SciTech,Yes,86.5,MktFin,66.28,Placed,200000.0
24,3,M,65.0,Central,68.0,Central,Arts,64.0,CommMgmt,No,75.0,MktFin,57.8,Placed,250000.0
25,4,M,56.0,Central,52.0,Central,Science,52.0,SciTech,No,66.0,MktHR,59.43,Not Placed,?
26,5,M,85.8,Central,73.6,Central,Commerce,73.3,CommMgmt,No,96.8,MktFin,55.5,Placed,425000.0
27,6,M,55.0,Others,49.8,Others,Science,67.25,SciTech,Yes,55.0,MktFin,51.58,Not Placed,?
28,7,F,46.0,Others,49.2,Others,Commerce,79.0,CommMgmt,No,74.28,MktFin,53.29,Not Placed,?
29,8,M,82.0,Central,64.0,Central,Science,66.0,SciTech,Yes,67.0,MktFin,62.14,Placed,252000.0
30,9,M,73.0,Central,79.0,Central,Commerce,72.0,CommMgmt,No,91.34,MktFin,61.29,Placed,231000.0
31,10,M,58.0,Central,70.0,Central,Commerce,61.0,CommMgmt,No,54.0,MktFin,52.21,Not Placed,?
32,11,M,58.0,Central,61.0,Central,Commerce,60.0,CommMgmt,Yes,62.0,MktHR,60.85,Placed,260000.0
33,12,M,69.6,Central,68.4,Central,Commerce,78.3,CommMgmt,Yes,60.0,MktFin,63.7,Placed,250000.0
34,13,F,47.0,Central,55.0,Others,Science,65.0,CommMgmt,No,62.0,MktHR,65.04,Not Placed,?
35,14,F,77.0,Central,87.0,Central,Commerce,59.0,CommMgmt,No,68.0,MktFin,68.63,Placed,218000.0
36,15,M,62.0,Central,47.0,Central,Commerce,50.0,CommMgmt,No,76.0,MktHR,54.96,Not Placed,?
37,16,F,65.0,Central,75.0,Central,Commerce,69.0,CommMgmt,Yes,72.0,MktFin,64.66,Placed,200000.0
38,17,M,63.0,Central,66.2,Central,Commerce,65.6,CommMgmt,Yes,60.0,MktFin,62.54,Placed,300000.0
39,18,F,55.0,Central,67.0,Central,Commerce,64.0,CommMgmt,No,60.0,MktFin,67.28,Not Placed,?
40,19,F,63.0,Central,66.0,Central,Commerce,64.0,CommMgmt,No,68.0,MktHR,64.08,Not Placed,?
41,20,M,60.0,Others,67.0,Others,Arts,70.0,CommMgmt,Yes,50.48,MktFin,77.89,Placed,236000.0
42,21,M,62.0,Others,65.0,Others,Commerce,66.0,CommMgmt,No,50.0,MktHR,56.7,Placed,265000.0
43,22,F,79.0,Others,76.0,Others,Commerce,85.0,CommMgmt,No,95.0,MktFin,69.06,Placed,393000.0
44,23,F,69.8,Others,60.8,Others,Science,72.23,SciTech,No,55.53,MktHR,68.81,Placed,360000.0
